PH.D	DBO.P	DBO.D	PH.P	PH.E	SSV.E	DBO.E	DQO.D	SSV.P	RD.SS.G	DQO.E	SS.P	RD.DQO.G	COND.P	SS.D	DBO.S	SED.P	COND.E	RD.DBO.G	RD.SS.P	rfclassifier
7.7	241	101	7.7	7.7	39.8	123	202	25.3	91.9	246	300	71.5	1328	86	12	4.5	1288	90.2	71.3	class1
7.7	161	69	7.7	7.7	62.7	133	251	57.8	94.6	410	256	64.9	1421	88	8	4.5	1490	94	65.6	class1
7.7	300	113	7.6	7.5	57.3	237	243	53.3	93.3	388	240	80.4	1571	84	12	4.5	1620	94.9	65	class1
7.8	110	104	7.8	7.8	55.7	199	204	60.2	93.9	380	196	88.7	1430	116	13	3.5	1453	93.5	40.8	class1
7.8	396	107	7.8	7.8	53.3	214	243	57.5	95.4	941	320	94.2	1528	106	11	7	1454	94.9	66.9	class1
7.6	212	148	7.6	7.5	56.8	438	350	64.4	97	681	348	82.4	1446	88	15	6	1396	96.6	74.7	class1
7.8	284	164	7.8	7.8	67.5	255	259	65.1	88	282	172	80.1	965	112	13	2	950	94.9	34.9	class1
7.9	59	44	8	8.1	40.7	64	114	45.2	91.9	161	146	80.7	1315	63	8	1.1	1350	87.5	56.8	class1
8	86	49	8.1	8	20.3	66	114	19.9	96.7	152	412	84.2	1383	80	11	2.5	1403	83.3	80.6	class1
7.8	63	37	7.9	7.7	25.6	48	112	24.8	95	156	266	61.5	1403	84	5	1.9	1400	89.6	68.4	class1
8.2	150	53	8.1	8.1	39.1	69	100	38.9	93.5	126	180	58.7	902	62	8	1.9	882	88.4	65.6	class1
7.9	125	44	7.9	7.8	48.2	70	101	41.2	85.7	188	194	71.8	1074	54	12	2.8	1031	82.9	72.2	class1
7.9	74	47	7.8	7.8	43.9	95	158	57.1	70.5	206	112	51.9	856	62	21	1.2	828	77.9	44.6	class1
7.9	71	26	7.9	7.8	30.6	77	120	28.9	96.4	256	270	75.8	931	71	7	3	910	90.9	73.7	class1
7.8	85	44	7.7	7.7	64.6	58	123	61.6	87.7	197	146	78.7	1169	54	20	2.5	1135	65.5	63	class1
7.6	94	48	7.6	7.5	59.1	95	316	59.2	91.5	302	152	80.5	1145	107	19	2.5	1120	80	29.6	class1
7.4	100	74	7.4	7.4	65.1	112	213	64.6	91.3	470	192	79.4	1208	69	14	4	1207	87.5	64.1	class1
8.1	181	118	8.2	8.2	55.5	145	353	53	94.2	747	264	86.6	1056	110	15	4.7	1059	89.7	58.3	class1
8.2	232	162	8	7.9	76.5	253	287	71.3	92.6	354	202	80.5	1455	96	16	4	1443	93.7	52.5	class1
8.1	164	126	8.2	8.2	71.9	154	237	70.3	91.4	310	148	83.9	1350	82	15	3	1520	90.3	44.6	class1
8.2	286	140	8.2	8.2	73.7	172	310	74.4	90.8	345	156	75.4	1500	74	16	3.5	1552	90.7	52.6	class1
8.3	278	124	8.3	8.3	84.8	181	264	78	89.7	348	200	86.2	1479	76	21	5.5	1337	88.4	62	class1
7.9	178	155	7.9	7.9	75.3	176	312	79.5	91.4	387	156	86.8	1331	100	17	3	1344	90.3	35.9	class1
7.9	241	150	8	8.1	76.4	236	226	76.7	90.4	448	180	82.4	1259	90	16	4.5	1325	93.2	50	class1
7.9	148	94	8	8.1	57	151	204	61	94.1	294	154	86.7	1000	90	9	2.8	1006	94	41.6	class1
8	140	81	8.1	8.2	40.6	139	172	38.5	94.5	294	260	81.3	1361	90	11	2.5	1456	92.1	65.4	class1
7.9	117	91	7.9	7.8	62.5	119	161	55.1	93	220	138	79.5	1493	76	7	1.2	1444	94.1	44.9	class1
7.9	157	109	8	8	73.2	111	197	71.4	83.1	371	154	64.7	1437	80	14	4	1440	87.4	48.1	class1
7.8	235	110	7.8	7.7	61.2	283	227	51.1	88.2	310	270	72.6	1100	108	16	5.5	1065	94.3	60	class1
7.9	205	107	7.9	7.9	33.6	313	200	33.8	96.9	341	520	78.3	976	106	13	7.5	915	95.8	79.6	class1
7.7	375	150	7.7	7.7	45.1	300	323	43.9	96.9	610	556	81	1312	212	21	10	1313	93	61.9	class1
7.7	296	148	7.6	7.7	57.6	192	270	54.2	94.1	416	384	81.3	1445	108	13	7	1447	93.2	71.9	class1
7.4	123	73	7.4	7.3	38.5	129	175	42.1	91.9	237	228	72.2	1202	110	7	2	1190	94.6	51.8	class1
7.8	157	99	7.8	7.9	50	122	198	53.2	90.5	287	188	85	2130	92	12	2	1906	90.2	51.1	class1
7.8	110	78	8	8	66.7	90	179	70.7	90.3	271	164	84.9	1209	74	10	3	1221	88.9	54.9	class1
7.9	134	44	8	8	45.4	140	160	48.1	96.5	555	208	86.5	890	76	7	3.5	850	95	63.5	class1
8	170	89	7.9	7.9	47.6	155	133	52.2	94.3	243	138	85.6	858	74	9	1.5	848	94.2	46.4	class1
8.1	197	93	8.2	8.2	51	157	204	53.2	91.8	361	188	85.9	931	86	12	4	1015	92.4	54.3	class1
8.2	184	92	8.3	8.4	60.5	195	165	69.2	89.5	246	156	82.9	1564	86	11	3.8	1631	94.4	44.9	class1
8	177	68	7.9	8.1	52.6	102	165	52.6	91.7	269	152	79.9	1180	76	10	2.5	1082	90.2	50	class1
7.8	165	104	7.8	7.8	68.7	174	202	68.4	79.1	173	114	53.2	980	100	21	2	967	87.9	12.3	class1
8	154	46	7.9	8.1	13.2	109	111	13.7	98.5	211	1108	83.4	1534	118	7	7	1745	93.6	89.4	class2
8	115	92	7.9	7.9	17.8	120	215	20	96.1	284	460	69	1046	134	11	4	1048	90.8	70.9	class1
7.9	166	84	7.8	7.7	43.9	275	265	45	94.5	553	516	84.3	1174	158	24	8.5	1105	91.3	69.4	class1
7.9	192	137	7.9	7.8	75.8	169	332	68.6	89.4	337	204	78.9	1526	126	14	4.5	1568	91.7	38.2	class1
7.9	158	92	8	7.9	66.2	168	248	65.8	91.9	303	158	74.3	1070	74	16	3	1069	90.5	53.2	class1
7.9	183	151	7.9	7.8	73	161	313	69.4	90.5	391	170	76	1505	86	19	4	1551	88.2	49.4	class1
7.9	278	118	8	8	63.6	202	277	60.6	91.3	471	340	82.4	1160	106	25	6.5	1158	87.6	68.8	class1
7.6	98	61	7.7	7.7	49.2	72	180	45.9	85.2	180	122	60	986	70	21	1.8	990	70.8	42.6	class1
7.8	125	97	7.7	7.4	47.4	183	368	50.5	92.1	325	218	71.1	1254	136	15	3	1229	91.8	37.6	class1
7.8	159	114	8.3	8.1	60.2	136	247	60.6	86.2	447	188	76.3	1120	74	29	3.5	1105	78.7	60.6	class1
8.1	323	175	8.1	8.1	59.4	227	412	59.8	94.3	812	358	88.8	1592	150	21	7.3	1512	90.7	58.1	class2
8.1	170	149	8.2	8.1	79.5	185	296	73.2	85.9	401	224	75.8	1593	86	24	5.5	1513	87	61.6	class1
8.1	225	135	8.2	8.2	60.7	240	293	60.7	94.4	507	300	84.6	1663	94	22	8	1672	90.8	68.7	class1
8.1	252	154	7.9	7.9	75.5	204	257	70.7	93.4	469	246	95.7	1186	90	18	6.5	1145	91.2	63.4	class1
7.9	375	121	7.9	7.7	73.6	254	319	67.1	89.1	411	292	76.6	1350	102	17	8	1339	93.3	65.1	class1
8.1	264	138	8.1	8.1	76.1	198	234	73.2	87.3	351	142	78.1	1300	98	15	2.5	1341	92.4	31	class1
8.1	117	66	8.2	8.2	73.3	127	315	71.7	91.3	444	184	80.9	1629	94	15	4	1658	88.2	48.9	class1
8.2	220	161	8.3	8.4	77.8	249	328	74.5	94.4	600	204	85.3	1583	86	18	5.3	1566	92.8	57.8	class2
8	243	122	8.1	7.9	74.6	228	279	76.1	89.7	461	142	80.7	1104	92	14	2.5	1113	93.9	35.2	class1
8.1	285	117	8.2	8.3	70.9	230	304	66.7	91.8	524	186	82.4	1217	82	13	5.5	1178	94.3	55.9	class1
8.1	231	107	8.1	7.9	77.4	203	341	70.4	91.1	487	196	65.9	1338	60	17	5.5	1353	91.6	69.4	class1
8	207	92	8.2	8.2	73.6	133	257	65.3	92.3	531	288	84.4	1535	72	11	11	1514	91.7	75	class1
8	189	114	8.1	8	74	131	273	75.2	87.7	384	298	75.3	1300	80	18	6.5	1260	86.3	73.2	class1
7.9	182	118	7.8	7.7	65.8	241	256	67	93	332	194	53	1148	90	12	3.3	1133	95	53.6	class1
8.1	106	98	8.2	8.3	71.7	113	279	74.6	90.8	347	134	75.8	1377	68	7	2.5	1385	93.8	49.3	class1
8.2	222	134	8.3	8.1	70.3	203	271	71.9	91.4	434	114	86.2	1533	84	13	2.5	1496	93.6	26.3	class1
7.9	240	134	7.8	7.6	69.9	224	302	71.4	94.5	337	168	76.9	1144	92	17	4	1146	92.4	45.2	class1
8.2	273	161	8.3	8.2	72.3	223	337	75.5	92.2	470	196	81.7	1362	92	16	5	1343	92.8	53.1	class2
8.1	257	174	8.3	8.2	72.2	346	300	75	93.1	350	152	82.6	1230	86	20	4	1233	94.2	43.4	class2
8.2	221	152	8.2	8.2	76.6	148	337	73.9	94.1	545	230	87	1354	94	14	5	1329	90.5	59.1	class1
8	331	150	8	7.9	71.2	319	299	69.3	94.4	532	254	88.7	1453	92	15	6	1379	95.3	63.8	class1
8.2	268	180	8.3	8.2	67.2	334	372	67.2	95.7	594	238	89.6	1400	118	20	5.5	1380	94	50.4	class2
8.1	258	189	8.2	8.1	69.2	311	309	72.7	94.2	420	198	90.2	1559	152	18	3.3	1474	94.2	23.2	class2
8.2	282	153	8	8.1	84.2	238	290	80	91.6	591	210	89.3	1372	106	16	5.5	1380	93.3	49.5	class2
7.6	122	97	7.6	7.5	73.7	122	242	64.4	91.2	289	146	65.7	1060	70	12	2	1103	90.2	52.1	class1
7.9	140	92	7.9	7.8	55.7	133	206	54.4	92.4	295	158	77.6	1448	74	14	2.5	1436	89.5	53.2	class1
7.8	154	114	7.9	7.9	56.3	142	295	57.5	91.3	272	174	72.8	1485	86	18	3	1543	87.3	50.6	class1
7.7	145	75	7.7	7.9	67.6	152	204	66.2	91.9	510	148	87.3	1266	72	16	2.5	1235	89.5	51.4	class1
7.5	121	73	7.6	7.6	34.3	100	149	36.1	95	212	288	72.2	646	98	15	3	651	85	66	class1
7.5	84	45	7.4	7.3	32.2	80	125	34.3	94.4	204	198	75	912	74	10	1.5	940	87.5	62.6	class1
7.6	122	71	7.5	7.5	56.7	94	203	51.4	91.7	189	144	82.5	1206	54	13	1.3	1200	86.2	62.5	class1
7.8	175	99	7.7	7.6	57.3	135	250	53.1	89	297	196	85.5	1040	98	20	2.5	1000	85.2	50	class1
7.9	196	139	8	7.9	57.5	175	327	49.8	94.5	566	406	85.9	1358	110	20	9.2	1268	88.6	72.9	class1
7.9	218	153	8	7.9	62.7	223	355	63.3	93.3	538	256	80.7	1441	112	18	6.5	1425	91.9	56.3	class1
7.8	302	161	7.9	7.9	46.5	222	352	52.9	95.8	516	374	81.4	1393	110	21	9	1335	90.5	70.6	class1
7.8	201	127	7.7	7.8	61.3	159	314	55.4	94	516	314	86	1340	104	17	5	1405	89.3	66.9	class1
7.7	138	114	7.7	7.7	56.3	153	265	63	82.8	404	184	72.5	1073	116	33	2.7	1049	78.4	37	class1
7.7	136	97	7.8	7.7	45.6	168	242	45.3	94.5	376	296	76.9	1063	80	14	5.6	1052	91.7	73	class1
7.9	399	133	7.9	7.7	64.3	250	310	62.2	91.3	431	238	79.1	1232	86	15	6	1219	94	63.9	class1
7.7	293	119	7.7	7.4	68.6	224	282	64.5	90.2	421	248	76.7	1341	94	18	6.5	1328	92	62.1	class1
7.7	135	108	7.7	7.6	62.1	122	244	56.5	93.1	338	216	87	1030	68	14	5.5	1035	88.5	68.5	class1
7.9	216	123	7.9	7.9	54.5	243	253	46.2	95.1	459	342	77.6	1202	90	15	7.5	1174	93.8	73.7	class1
7.7	166	114	7.7	7.7	71.2	156	176	66	69.9	276	206	84.4	1270	124	30	4.5	1265	80.8	39.8	class1
7.9	213	170	7.9	7.8	73.3	273	310	68.8	89.5	473	224	82	1257	116	22	6	1232	91.9	48.2	class1
7.9	324	157	7.9	7.8	67.9	312	306	71.6	89.7	576	268	87.2	1280	92	23	5	1300	92.6	65.7	class1
8.1	397	148	8.2	8.1	75	242	312	68.1	89.2	492	238	82.9	1612	88	20	5	1530	91.7	63	class2
7.9	365	124	7.9	7.8	66.3	173	304	63.2	87.1	496	212	82.3	1303	100	23	5	1329	86.7	52.8	class1
7.6	255	131	7.6	7.5	78.4	296	318	69.2	95.3	455	182	76.7	1436	84	15	3.9	1439	94.9	53.8	class1
7.9	360	145	7.9	7.7	67.7	269	314	58.6	92.2	423	266	74	1170	94	16	7	1164	94.1	64.7	class1
7.9	328	201	7.9	7.9	72.1	233	388	68.6	92.8	506	242	82.2	1366	102	18	5.8	1410	92.3	57.9	class1
7.6	241	164	7.7	7.6	71.6	237	341	65.2	72.1	494	224	85.6	1248	102	24	5	1187	89.9	54.5	class1
7.9	232	160	7.9	7.8	70.8	241	353	67	93.9	539	218	85	1403	92	20	5.5	1338	91.7	57.8	class1
7.7	206	135	7.7	7.5	55.4	166	260	54.7	95.9	393	256	93.1	982	96	13	5.5	958	92.2	62.5	class1
7.9	199	130	7.9	7.9	70.7	205	301	70.1	88.9	453	214	84.5	1530	92	15	5.5	1479	92.7	57	class1
7.9	337	149	7.8	7.7	66.1	212	320	62.3	93.8	468	260	80.3	1506	114	18	6	1475	91.5	56.2	class1
7.9	160	138	8	8.1	61.8	177	372	55.7	91.8	428	244	75.7	1335	90	20	5.3	1372	88.7	63.1	class1
7.8	226	100	7.9	7.9	66.7	270	226	63	90.5	321	200	84.1	971	82	14	3.5	1026	94.8	59	class1
7.9	252	110	7.8	7.5	48.1	161	238	47.1	95.1	392	208	84.9	1105	82	15	3.5	1156	90.7	60.6	class1
7.8	167	149	7.7	7.7	50.3	173	319	61.9	92.5	388	210	72.2	1171	110	20	4.5	1196	88.4	47.6	class1
7.9	258	125	7.8	7.7	52.6	183	292	50.9	95	449	464	88	1410	88	23	7.5	1306	87.4	81	class1
